Layer;Ontology;Path;Concept;Stereotype;Generalizations;Definition;Example;Relations
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Sortal Universal;;UFO:Substantial Universal   ;;;0
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Quality Auditor;role;SPO:Person Stakeholder   ;Stakeholder responsible for conducting objective evaluations.;;2
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;Monitoring Runtime Requirement Artifact;;RRO:Runtime Requirement Artifact   ;Monitoring Runtime Requirement Artifact defines the criteria for verifying if a requirement is being satisfied or not at runtime.;;2
DOMAIN;RSRO;SEON:Domain Layer:RSRO;Requirement;mode;UFO:Goal   ;Goal to be achieved, representing a condition or capacity needed for the system users for solving a problem.; Providing a product register, Performing a function in an established time.;4
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Configuration Management System Establishment;event;SPO:Performed Composite Activity   ;Activity for establishing the configuration management system, usually composed of version control system, a change control system and a product building system.;;1
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurable Entities;Measurable Software-Related Entity Type;;COM:Measurable Entity Type   ;Type of Measurable Entities related to software.; the Requirements Engineering Standard Process is a measurable software-related entity of the Standard Process type.;2
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Information Item;kind;SysSwO:Software Artifact   ;Relevant information for human use, produced or used by Performed Activity.; a documented requirement, a bug reported, an agreement e-mail, a component description.;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Usage;;UFO:Object Participation   ;;;0
DOMAIN;SPMO;SEON:Domain Layer:SPMO:Estimated Process;Cost Estimated Activity;;SPO:Project Activity   ;A Project Activity with cost estimated.;;0
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Artifact Evaluation;event;SPO:Performed Simple Activity   ;Activity for objectively evaluating the adherence of products and deliverables to the applicable requirements.;;2
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Specification;HCI Designer;;SDRO:Software Designer   ;A Software Designer that uses his or her skills to directly contribute to the creation of a specification containing design choices about human-computer interaction aspects of the interactive software system being designed.;;2
CORE;SPO;SEON:Core Layer:SPO:Intended Software Process Definition:Intended Process Structure;Organizational Intended Process;mode;SPO:Intended Process   ;Intended Process defined to be performed in the context of an Organization, regardless of specific Projects.; an intended Portfolio Management Process, a intended Human Resource Hiring Process.;1
DOMAIN;DPO;SEON:Domain Layer:DPO;Data High-level Design;event;SPO:Performed Simple Activity   ;Activity for establish the high-level choices regarding the software data.; data management mechanisms, data distribution.;2
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Performed Process;Performed General Process;event;SPO:Performed Process   ;The overall Performed Process executed in a specific Project or Organization, which is necessarily composed of Specific Performed Processes.; the overall process performed in a software project.;1
DOMAIN;DPO;SEON:Domain Layer:DPO;Design Evaluation;event;SPO:Performed Composite Activity   ;Activity for evaluating a Design Document, registering the identified issues.;;6
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Source Code;subkind;SysSwO:Code   ;A well-formed sequence of computer instructions and data definitions expressed in a programming language, in a form suitable for input to an assembler, compiler, or other translator.;;2
CORE;HCIO;HCI-ON:Core Layer:HCIO:Interactive Computer System;Loaded User Interface Program Copy;;SysSwO:Loaded Program Copy   ;Loaded Program Copy that is the materialization of a User Interface Program.; the copy of the programs that deal with interface aspects of the home banking system loaded in the computer of a certain user.;4
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Composed Quality Universal;;UFO:Quality Universal   ;;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Internal Commitment Universal;;UFO:Commitment Universal   ;;;1
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Procedures;Method;kind;SPO:Procedure   UFO:Plan Description   ;Systematic Procedure defining a workflow of activities (a set of steps) and heuristics to perform one or more activities.; an OO Method, an Interview Method.;1
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Model;kind;SysSwO:Software Artifact   ;A representation (abstraction) of a process or system from a particular perspective.; a use case model, a class model, a component model.;0
CORE;COM;SEON:Core Layer:COM:Measurement;Measurement;;UFO:Event (Perdurant)   ;Action that measures a Measurable Element of a Measurable Entity by applying a Measure and adopting a Measurement Procedure to obtain a Measured Value. A Measurement is performed based on a Measurement Planning Item.; the measurement of the measurable element weight of the measurable entity John by applying the measure weight in kilos, adopting a certain measurement procedure and resulting in the measured value 75. ;6
DOMAIN;CPO;SEON:Domain Layer:CPO;Coding;event;SPO:Performed Composite Activity   ;Composite Performed Activity executed for coordinating the Code development and documentation, according to definitions from the Requirements Document and Design Document.;;6
DOMAIN;RDPO;SEON:Domain Layer:RDPO;Conceptual Modeling;event;SPO:Performed Composite Activity   ;Composite Performed Activity executed for modeling requirements, producing Conceptual Models that provide a more comprehensive view of the problem.;;3
DOMAIN;SPMO;SEON:Domain Layer:SPMO:Tracked Process;Tracked Stakeholder Participation;;SPO:Stakeholder Participation   ;;;1
CORE;SPO;SEON:Core Layer:SPO:Standard Software Process Definition:Standard Process Structure;Composite Standard Activity;2ndOT;SPO:Standard Activity   ;Standard Activity composed of other Standard Activities.;;1
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Procedures;Method Workflow;2ndOT;UFO:Complex Action Universal   ;Complex Action type denoting a set of steps (Method Activities) to be used when a Method is adopted.; the steps for using a OO Method for the software design phase.;2
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Artifact Copy;category;SysSwO:Software Artifact   ;Copy of an Artifact that is under version control.;;4
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Item;mixin;UFO:Object   ;Object whose configuration may be managed.; Artifacts, Process descriptions, Tools.;0
DOMAIN;SDRO;SEON:Domain Layer:SDRO:Physical Aspects;Loaded Software Design Component;;SysSwO:Loaded Program Copy   ;The materialization of a Software Design Component (i.e., the resulting designed program loaded in the computer memory);;2
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Change Reviewer;role;SPO:Stakeholder   ;Stakeholder responsible for reviewing the changes in Configuration Items regarding a Change Request.;;1
DOMAIN;SPMO;SEON:Domain Layer:SPMO;Corrective Action Register;subkind;SysSwO:Information Item   ;Information Item describing an action to eliminate the cause or reduce the likelihood of recurrence of a detected nonconformity or other undesirable situation. [ISO/IEC/IEEE 24765]; an additional developer shall be allocated for Project X, a new agreement on the requirements change shall be obtained from the client.;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Relator;;UFO:Moment   ;;;2
CORE;SPO;SEON:Core Layer:SPO:Standard Software Process Definition:Standard Process Structure;Hybrid Standard Process;2ndOT;SPO:Standard Process   ;Standard Process established to be performed in the context of a Project or Organization.; a Training Process, a Quality Auditing Process.;0
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Artifact Participation;Artifact Usage;event;SPO:Artifact Participation   UFO:Usage   ;Artifact Participation in which an existing Artifact is used, but not modified.; the usage of a Design Specification in a Coding activity.;0
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Artifacts;Incident Report;subkind;SysSwO:Information Item   ;Report describing the occurrence, nature, and status of an incident (adapted from ISO/IEC/IEEE 29119-1:2013 Software and systems engineering--Software testing--Part 1: Concepts and definitions, 4.18).;;0
CORE;SPO;SEON:Core Layer:SPO:Intended Software Process Definition:Scheduled Process;Scheduled Process;mode;UFO:Appointment   SPO:Intended Process   ;An Intended Process defining the Time Interval it is planned to be performed.; The Requirements Development Process defined for the Alpha Project and scheduled for July 1st to August 15th.;0
DOMAIN;SPMO;SEON:Domain Layer:SPMO:Estimated Process;Duration Estimated Process;;SPO:Project Process   ;A Project Process with duration estimated.;;0
CORE;SPO;SEON:Core Layer:SPO:Standard Software Process Definition:Standard Process Structure;Simple Standard Activity;2ndOT;SPO:Standard Activity   ;Standard Activity that is not further decomposed into other Standard Activities.;;0
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Evaluated Artifact;role;SysSwO:Software Artifact   ;Artifact objectively evaluated.;;1
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Artifacts;Test Analysis Report;subkind;SysSwO:Document   ;Document containing the analysis of Test Results and how they succeed.;;2
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Artifact CI;role;CMPO:Configuration Item (CI)   SysSwO:Software Artifact   ;Artifact whose configuration is being managed.; Documents, Models, Software Products under Configuration Management.;4
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Processual Role;;;;;2
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Planning;Software Measurement Plan;subkind;SysSwO:Document   ;Document produced during Software Measurement Planning. It is composed of Software Measurement Planning Items.; the Software Measurement Plan defined for the Organization O.;7
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Specification;Mental User Observable State;;HCIDO:HCI Design Proposition   SDRO:Mental Computing Resulting State   ;A Mental Computing Resulting State decscribing how a Mental HCI Design Component should be presented to users (e.g., presenting a collection of products as a list or in a 3x3 grid).;;3
CORE;HCIO;HCI-ON:Core Layer:HCIO:Interactive Computer System;Loaded Interactive Software System Copy;;SysSwO:Loaded Software System Copy   ;Loaded Software System Copy that is the materialization of an Interactive Software System.; the copy of the home banking system loaded in the computer of a certain user.;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Agent Participation;;UFO:Participation   ;;;1
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Evaluated CR;phase;CMPO:Change Request (CR)   ;Change Request evaluated and set as authorized or rejected.;;2
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Artifacts;Test Driver;subkind;ROoST:Test Code   ;Software item used to invoke a module under test and, often, provide test inputs, control and monitor execution, and report test results (adapted from ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary).;;0
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;Compliance Program Copy Execution;;RRO:RRT Program Copy Execution   ;A Compliance Program Copy Execution is the execution of a Loaded Compliance Program Copy. It uses Monitoring Runtime Requirement Artifacts as resources to monitor Execution States.;;3
DOMAIN;GORO;SEON:Domain Layer:GORO;Complex Task;;;A Complex Task is a Task that is composed in other tasks.;;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Intrisic Moment Universal;;UFO:Moment Universal   ;;;1
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Noncompliance Closing;event;SPO:Performed Simple Activity   ;Activity for finishing a noncompliance once it is satisfactorily solved.;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Substantial Universal;;UFO:Endurant Universal   ;;;0
CORE;SPO;SEON:Core Layer:SPO:Standard Software Process Definition:Standard Process Structure;Specific Standard Process;2ndOT;SPO:Standard Process   ;Standard Process that can be part of a General Standard Process of a Project or Organization, necessarily composed of at least two Standard Activities.; the standard Requirements Development Process established as part of a broader standard Development Process.;3
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Techniques;Mutation Testing Technique;subkind;ROoST:Testing Technique   ;Testing technique in which two or more program mutations are executed using the same test cases to evaluate the ability of the test cases to detect differences in the mutations (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary);;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-B;Participation;;UFO:Event (Perdurant)   ;A participation is the portion of an event which depends exclusively on a single object. Each of participations is itself an event that can be complex or atomic but which existentially depends on a single substantial. Take for instance the event e: the stabbing of Caesar by Brutus. In this event we have the participation of Caesar himself, of Brutus and of the knife. In this case, e is composed of the individual participation of each of these entities.;;4
DOMAIN;HCIEO;HCI-ON:Domain Layer:HCIEO:Central View;HCI Evaluator;;SPO:Stakeholder   ;HCI Evaluator & Individual or organization (Stakeholder) that performs an HCI Evaluation.; usability specialists, developers. ;4
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Higher-Order Object Kind;;;;;1
DOMAIN;RRO;SEON:Domain Layer:RRO:Runtime Requirements;Loaded Adaptation Program Copy;;RRO:Loaded RRT Program Copy   ;Loaded Adaptation Program Copy is the materialization of an Adaptation Program.;;2
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Planning;Information Need Description;subkind;SysSwO:Information Item   ;Information Item that documents the description of an Information Need.; the record of the information need What is the delivered defects density?.;3
DOMAIN;GORO;SEON:Domain Layer:GORO;Softgoal;;UFO:Goal   ;Softgoal is an initial and temporary vague expression of a goal not suficiently defined yet. It refers to a vague quality region whose exact boundaries are unknown. Thus it is not  possible to determine a priori the set of situations that satisfies the softgoal. Its satisfiability is usually related to an agent's judgement.;;0
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Configuration Auditor;role;SPO:Stakeholder   ;Stakeholder responsible for auditing the Configuration Management related results.;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Closed Commitment Universal;;UFO:Commitment Universal   ;;;3
CORE;SPO;SEON:Core Layer:SPO:Standard Software Process Definition:Standard Process Structure;Organizational Standard Process;2ndOT;SPO:Standard Process   ;Standard Process established to be performed in the context of an Organization, regardless of specific Projects.; a standard Portfolio Management Process, a standard Human Resource Hiring Process.;0
DOMAIN;CMPO;SEON:Domain Layer:CMPO;Change Control;event;SPO:Performed Composite Activity   ;Activity for formally controlling the modification of Configuration Items, in a process of requesting, evaluating, changing and reviewing.;;8
DOMAIN;RDPO;SEON:Domain Layer:RDPO;Requirements Negotiation and Prioritization;event;SPO:Performed Composite Activity   ;Composite Performed Activity executed to solve problems in the requirements and to reach an agreement on the set of requirements to be considered in the Project and their priorities.;;7
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Change;;UFO:Object Participation   ;;;0
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Artifacts;Test Result;subkind;SysSwO:Document   ;Document containing the actual results and identified issues relative to a Test Case execution.;;6
CORE;SPO;SEON:Core Layer:SPO:Standard Software Process Definition:Standard Process Structure;General Standard Process;2ndOT;SPO:Standard Process   ;Standard Process that is composed of Specific Standard Processes, allowing an Organization to establish sub-processes that are part of a complete Standard Process.; the overall Development Process established for the Organization Projects.;2
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Stakeholders;Team Stakeholder;role;EO:Team   SPO:Stakeholder   ;Team interested or affected by the process activities or results.; a Testing Team.;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Normative Description;;UFO:Social Object   ;Normative Descriptions are Social Objects that define one or more rules/norms recognized by at least one Social Agent and that can define other Social objects (the crown of the king of Spain) or Social Roles (such as president, PhD candidate or pedestrian). @Examples of normative descriptions include the Brazilian Constitution, the Federal University of Espírito Santo PhD program regulation, but also a set of directives on how to perform some actions within an organization (a Plan Description).;;4
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Performed Process;Performed Organizational Process;event;SPO:Performed Process   ;Performed Process executed in the context of an Organization, regardless of specific Projects.; a performed Portfolio Management Process, a performed Human Resource Hiring Process.;1
DOMAIN;SPMO;SEON:Domain Layer:SPMO:WBS;Work Package;;SPMO:Deliverable   ;;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Measurement Reference Dimension;;UFO:Measurement Reference Structure   ;;;0
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Performed Process;Performed Project Activity;;SPO:Performed Activity   ;;;2
DOMAIN;RSRO;SEON:Domain Layer:RSRO;Assumption;;UFO:Proposition   ;Assumptions describe states-of-affairs in the environment of interest that the Stakeholders believe to be true, i.e., they are the propositional content of Stakeholders' Beliefs. They express the belief that a specific situation exists in the environment.;;2
DOMAIN;DPO;SEON:Domain Layer:DPO;Data Model;subkind;SysSwO:Model   ;Model containing the physical and logical decisions on how to manage and storage the software data.; a database schema.;2
CORE;COM;SEON:Core Layer:COM:Measure;Basic Measurement Procedure;;COM:Measurement Procedure   ;Measurement Procedure applicable to a Base Measure.; Measurement procedure to collect data for the measure weight in kilos: Use a weighting digital instrument to measure the person weight in kilos. Record the measured value and the measurement date.;1
DOMAIN;RSRO;SEON:Domain Layer:RSRO;Requirements Engineer;role;SPO:Stakeholder   ;Stakeholder responsible for conducting the requirements development activities.; an organization employee assigned as Requirements Engineer in the requirements development activities.;6
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Atomic Action;;UFO:Atomic Event   UFO:Action   ;;;1
CORE;EO;SEON:Core Layer:EO:Organizational Structure;Formal Organization;kind;EO:Organization   ;;;1
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Noncompliance Register;subkind;SysSwO:Information Item   ;Information Item describing a noncompliance (a failure or refusal to conform to an applicable requirement) in a process or artifact, and related information to solve it.; a neglected activity in a process, a document wrongly specified.;4
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-B;Event (Perdurant);;UFO:Concrete Particular   UFO:Individual   ;Events (also called perdurants) are individuals composed of temporal parts. They happen in time in the sense that they extend in time accumulating temporal parts. @Examples of events are a conversation, a football game, a symphony execution, a birthday party, or a particular business process.;;9
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Set;;UFO:Abstract Thing   ;;;0
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Artifacts;Stub;subkind;ROoST:Test Code   ;Skeletal or special-purpose test code substituting a software module, used to test a module that calls or is otherwise dependent on it (adapted from ISO/IEC/IEEE 24765:2017 Systems and software engineering - Vocabulary);;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A:UFO-A Qualities;Measurable Quality Universal;;UFO:Quality Universal   ;Measurable Quality Universals are quality universals that can be objectively measured by cognitive agents or measurement devices, and it is possible to establish distances among their quality regions (@e.g., Weight and Height).;;0
CORE;EO;SEON:Core Layer:EO:Organizational Structure;Simple Organizational Unit;;EO:Organizational Unit   ;;;1
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Process;Software Measurement Execution;event;SPO:Performed Composite Activity   COM:Measurement   ;Activity for measuring a Software-Related Measurable Entity by applying a Software-Related Measure and obtaining a Measured Value.; the software measurement execution that applied the software-related measure schedule performance index to measure the Project P and obtained the measured value 0.75.;14
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Substantial;;UFO:Endurant   ;Substantials (objects) are existentially-independent Endurants (@e.g., a person, a car).;;4
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Closed Commitment;;UFO:Commitment   ;;;3
CORE;COM;SEON:Core Layer:COM:Measurable Entities;Measurable Element;;UFO:Measurable Quality Universal   ;Measurable property that characterizes a Measurable Entity Type.; height is a measurable element that characterizes measurable entities of the Person type.;7
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Performed Process;Performed Composite Activity;event;SPO:Performed Activity   ;Performed Activity composed of other Performed Activities.;;2
DOMAIN;DPO;SEON:Domain Layer:DPO;Software Architect;role;SPO:Stakeholder   ;Stakeholder responsible for designing the Software Architecture.;;3
DOMAIN;HCIEO;HCI-ON:Domain Layer:HCIEO:Central View;HCI Evaluation Criteria;;RSRO:Requirement   ;Conditions, or capacity needed (Requirement), used to evaluate interactive computer system’s quality characteristics. It can be determined by the HCI evaluation method of a certain HCI evaluation and may be related to user requirements.; total time the user spent on the first attempt to execute the task versus the time on the second attempt (the purpose of this data is to understand if the user can achieve a learning curve and on the second attempt to achieve the goal more quickly). In this case, the quality characteristic is usability, more specifically its learnability component. ;9
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Action Contribution;;UFO:Action   UFO:Agent Participation   ;Action Contribution is a participation that are intentional.;;0
DOMAIN;CPO;SEON:Domain Layer:CPO;Code Development;event;SPO:Performed Simple Activity   ;Simple Performed Activity executed for developing the software Code according to previews definitions.;;2
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Process;Test Case Design Input;rolemixin;SysSwO:Software Artifact   ;Some Artifact defined as an input for the Test Case Design.; Requirements Document, Design Document, Code.;1
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Artifacts;Test Code;subkind;SysSwO:Code   ;Code produced for implementing a Test Case.;;3
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Software Product Type;2ndOT;SysSwO:Sw Artifact Type   ;Artifact Type which is the powertype of Software Product, classifying its specializations.; Modeling Tool, Text Editor, IDE, Compiler.;3
DOMAIN;RSRO;SEON:Domain Layer:RSRO;Requirement Artifact;subkind;SysSwO:Atomic Sw Artifact   SysSwO:Information Item   ;Information Item describing a Requirement.; "The system shall provide a product register.", "The system shall control the client orders.", "The system shall be operable from Google Chrome version 32+.";10
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Specification;Functional Prototype;;HCIDO:HCI Design Specification   SysSwO:Software Item   ;A HCI Design Specitication that is a piece of code (i.e., a Software Item) intended to present basic functionality of an interactive system or of its components. It is developed for early evaluation purposes and cannot be considered the final implementation.;;0
CORE;COM;SEON:Core Layer:COM:Measure;Rational Scale;;COM:Scale   UFO:Rational MeaRefDimension   ;Scale in which it is possible to quantify the distance between its Scale Values, there is a value to represent nonentity (absolute zero) and it is possible to establish relations between Scale Values.; the measure distance in kilometers has a rational scale, since 0km means the absence of distance, it is possible to quantify the distance between scale values (e.g., there are 10km between the distances 20km and 30km) as well as establish other relations between them (e.g., we can say that 100km is twice longer than 50km).;0
DOMAIN;DPO;SEON:Domain Layer:DPO;Design Document;subkind;SysSwO:Complex Sw Artifact   SysSwO:Document   ;Document specifying the design of a software, by depicting the software architecture, components, interfaces and data models, as well as other information regarding the design choices and decisions.;;7
CORE;COM;SEON:Core Layer:COM:Measurable Entities;Directly Measurable Element;;UFO:Simple Quality Universal   COM:Measurable Element   ;Measurable Element that does not depend on others to be measured.; weight and height.;1
CORE;COM;SEON:Core Layer:COM:Measure;Measure;;UFO:Function   ;Function used to associate a value (Measured Value) to a Measurable Element of a Measurable Entity. Measures quantify Measurable Elements and characterize Measurable Entity Types.; the measure height in meters can be used to quantify the measurable element height of measurable entities of the type Person.;14
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Quality Assurance Planning;event;SPO:Performed Composite Activity   SPO:Performed Activity   ;Activity for planning the quality assurance activities, resulting in a Quality Assurance Plan.;;4
DOMAIN;SDRO;SEON:Domain Layer:SDRO:Mental Aspects;Mental Software Design Choice;;SDRO:Software Design Proposition   ;A Software Design Proposition concerning a choice in the mind of a designer about how certain requirements of the system will be realized. It involves defining which components are part of the system and how they are connected to each other.  Adapted from [Guarino, N. (2014)];;6
CORE;SPO;SEON:Core Layer:SPO:Process Assets:Resources;Hardware Resource;role;SPO:Resource   SysSwO:Hardware Equipment   ;Hardware Equipment when used as Resource of some process activity.; a specific Computer Dell I7 being used by the Project Planning activity.;1
CORE;HCIO;HCI-ON:Core Layer:HCIO:User;User Participation;;UFO:Agent Participation   COM:Measurable Entity   ;Event in which the user participates in a Human-Computer Interaction.; user walking and unintentionally giving information about number of steps to a monitoring system loaded in her smart watch, user touching her finger to unlock her mobile phone by using her fingerprint, user interpreting a message from the mobile phone system informing that the captured fingerprint was not recognized.;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Category;;UFO:Rigid Mixin Universal   ;;;0
CORE;COM;SEON:Core Layer:COM:Measure;Measure Unit;;UFO:Unit   ;Unit in which measures can be expressed.; meter, kilo, hour.;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Complex Action;;UFO:Entity   UFO:Action   UFO:Complex Event   ;A Complex Action is composed of two or more Participations. These participations can themselves be intentional (i.e., be themselves actions) or unintentional events. For @ex, the stabbing of Caesar by Brutus includes the intentional participation of Brutus and the unintentional. participation of Caesar and the knife. In a complex action, at least one participation should be intentional, i.e., an action contribution;;2
DOMAIN;DPO;SEON:Domain Layer:DPO;Interface Specification;subkind;SysSwO:Information Item   ;Information Item describing an internal or external interface of a software architecture.;;3
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Disposition;;UFO:Intrinsic Moment   ;Dispositions are properties (moments) that are only manifested in particular situations and that can also fail to be manifested. When manifested, they are manifested through the occurrence of events. Take for example the disposition of a magnet m to attract metallic material. The object m has this disposition even if it is never manifested, for example, because it is never close to any magnetic material. Nonetheless, m can certainly be said to possess that intrinsic moment, which it shares with other magnets.;;3
DOMAIN;QAPO;SEON:Domain Layer:QAPO;Adherence Evaluation;event;SPO:Performed Composite Activity   ;Activity for objectively evaluating the adherence of processes and products to the applicable requirements, registering the identified issues.;;7
CORE;HCIO;HCI-ON:Core Layer:HCIO:User;Unintentional User Participation;;HCIO:User Participation   ;User participation unintentionally performed.; a user walking and unintentionally giving information about number of steps to a monitoring system loaded in her smart watch, user entering a room, in a smart home, which automatically turns on the light.  ;0
CORE;HCIO;HCI-ON:Core Layer:HCIO:User;Complex User Participation;;HCIO:User Participation   ;Participation composed of two or more User Participations.; user typing her password and then answering security questions to log in the e-mail system.;1
DOMAIN;HCIDO;HCI-ON:Domain Layer:HCIDO:Design Specification;Mental HCI Design Specification;;HCIDO:HCI Design Proposition   SDRO:Mental Software Design Specification   ;A Mental Software Design Specification consisting of a set of Mental HCI Design Choices. It represents the ideas that give form to a detailed description in the designer’s mind about HCI structural and behavioral aspects of the design object (i.e., it specifies the Mental HCI Design Object).;;3
CORE;SPO;SEON:Core Layer:SPO:Intended Software Process Definition:Scheduled Process;Scheduled Activity;mode;UFO:Appointment   SPO:Intended Activity   ;An Intended Activity defining the time interval it is planned to be performed.; The Requirements Verification and Validation activity scheduled for August 5th to 9th.;0
DOMAIN;CPO;SEON:Domain Layer:CPO;Coding Process;event;SPO:Performed Specific Process   ;Specific Performed Process for conducting the activities related to software Code production.;;2
DOMAIN;RSRO;SEON:Domain Layer:RSRO;Stakeholder Belief;;UFO:Belief   ;The belief of Requirements Stakeholders regarding the environment of interest that are described in terms of Assumptions.;;2
CORE;SPO;SEON:Core Layer:SPO:Software Process Execution:Resource Participation;Hardware Resource Participation;event;UFO:Usage   ;The participation of a Hardware Equipment as a Resource in a Performed Activity.; the use of a specific Computer in a Coding activity.;2
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Artifacts;Test Case Actual Result;subkind;SysSwO:Information Item   ;The actual result obtained from the execution of a test case.;;2
DOMAIN;RSMO;SEON:Domain Layer:RSMO:Software Measurement Planning;Periodicity;;;;;1
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Subkind;;UFO:Rigid Sortal Universal   ;;;0
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-A;Intrinsic Moment;;UFO:Moment   ;Intrinsic Moments are moments that inhere in one single individual (e.g., an apple’s color). An example of an intrinsic moment is a Mode (@e.g., John’s desires, intentions, perceptions, symptoms, skills).;;1
CORE;SysSwO;SEON:Core Layer:SysSwO:Computer System;Controller;;SysSwO:Computer Machine   ;A Machine where a Loaded Program Copy is running (Program Copy Execution) plays the role of Controller.;;1
DOMAIN;SPMO;SEON:Domain Layer:SPMO:Estimated Process;Duration Estimated Activity;;SPO:Project Activity   ;A Project Process with duration estimated.;;0
CORE;EO;SEON:Core Layer:EO:Human Resource Management;OU Member;role;EO:Human Resource   ;;;3
CORE;SysSwO;SEON:Core Layer:SysSwO:Sw Artifacts;Document Type;2ndOT;SysSwO:Sw Artifact Type   ;Artifact Type which is the powertype of Document, classifying its specializations.; Requirements Document, Design Specification, Project Plan.;2
DOMAIN;DPO;SEON:Domain Layer:DPO;Component Interface Design;event;SPO:Performed Simple Activity   ;Activity for refining each Interface Specification of a software.;;2
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Artifacts;Test Plan;subkind;SysSwO:Document   ;Document describing how the tests should be performed, providing a roadmap for the testing activities.;;2
FOUNDATIONAL;UFO;Foundational Layer:UFO:UFO-C;Collective Social Agent;;UFO:Social Agent   ;;;0
DOMAIN;ROoST;SEON:Domain Layer:ROoST:Testing Stakeholders;Tester;role;SPO:Stakeholder   ;Stakeholder responsible for coding and executing test cases.;;2
